GLORIA,07 55,155
MARY,09 10,140
ALICE,02 30,120
WANDA,08 00,185
RUBY,03 55,195
DOT,08 15,145
SHIRLEY,07 35,145
ROSE,05 50,185
ELSIE,02 50,140
HOPE,03 45,205
ELLEN,08 00,165
YORK,11 00,130
VICENTE,02 50,155
HATO,05 00,185
MANGKHUT,10 00,185
